stop name,ID,Synonyms
wisconsin ave nw + fessenden st nw,,
riggs rd ne + n capitol st ne,,
missouri ave nw + new hampshire ave nw,,
1st pl ne + riggs rd ne,,
missouri ave nw + new hampshire ave nw,,
riggs rd ne + rock creek church rd ne,,
riggs rd ne + blair rd ne,,
14th st nw + jefferson st nw,,
chillum pl ne + 11th st ne,,
chillum pl ne + #5312,,
14th st nw + colorado ave nw,,
colorado ave nw + 14th st nw,,
connecticut ave nw + nebraska ave nw,,
nebraska ave nw + connecticut ave nw,,
georgia ave nw + kennedy st nw,,
chillum pl ne + eastern ave ne,,
connecticut ave nw + nebraska ave nw,,
kennedy st nw + georgia ave nw,,
kennedy st nw + 13th st nw,,
missouri ave nw + 2nd st nw,,
western ave nw + river rd nw,,
5th st nw + kennedy st nw,,
kennedy st nw + colorado ave nw,,
kennedy st nw + 9th st nw,,
kennedy st nw + 13th st nw,,
kennedy st nw + georgia ave nw,,
kennedy st nw + 8th st nw,,
kennedy st nw + 9th st nw,,
nebraska ave nw + connecticut ave nw,,
kennedy st nw + 7th st nw,,
kennedy st nw + 8th st nw,,
georgia ave nw + kennedy st nw,,
kennedy st nw + 7th st nw,,
kennedy st nw + 5th st nw,,
kennedy st nw + 5th st nw,,
kennedy st nw + 4th st nw,,
kennedy st nw + 4th st nw,,
kennedy st nw + 3rd st nw,,
5th st nw + kennedy st nw,,
chillum pl ne + kennedy st ne,,
3rd st nw + kennedy st nw,,
wisconsin ave nw + harrison st nw,,
riggs rd ne + south dakota ave ne,,
14th st nw + longfellow st nw,,
riggs rd ne + south dakota ave ne,,
14th st nw + longfellow st nw,,
wisconsin ave nw + harrison st nw,,
5th st nw + longfellow st nw,,
new hampshire ave ne + longfellow st ne,,
connecticut ave nw + huntington st nw,,
5th st nw + longfellow st nw,,
new hampshire ave ne + longfellow st ne,,
n capitol st nw + longfellow st nw,,
connecticut ave nw + huntington st nw,,
georgia ave nw + madison st nw,,
nebraska ave nw + ingomar pl nw,,
n capitol st nw + madison st ne,,
riggs rd ne + chillum pl ne,,
nebraska ave nw + ingomar pl nw,,
georgia ave nw + madison st nw,,
wisconsin ave nw + jenifer st nw,,
5th st nw + madison st nw,,
wisconsin ave nw + jenifer st nw,,
new hampshire ave ne + madison st ne,,
new hampshire ave ne + madison st ne,,
riggs rd ne + chillum pl ne,,
nebraska ave nw + nevada ave nw,,
14th st nw + montague st nw,,
nicholson st ne + 6th st ne,,
14th st nw + montague st nw,,
connecticut ave nw + jocelyn st nw,,
nebraska ave nw + nevada ave nw,,
connecticut ave nw + jocelyn st nw,,
5th st nw + nicholson st nw,,
blair rd nw + nicholson st nw,,
riggs rd ne + nicholson st ne,,
5th st nw + nicholson st nw,,
14th st nw + nicholson st nw,,
14th st nw + nicholson st nw,,
nicholson st ne + riggs rd ne,,
nebraska ave nw + broad branch rd nw,,
riggs rd ne + nicholson st ne,,
nebraska ave nw + military rd nw,,
connecticut ave nw + military rd nw,,
blair rd nw + oglethorpe st nw,,
military rd nw + 28th st nw,,
military rd nw + 32nd st nw,,
military rd nw + 31st st nw,,
military rd nw + 27th st nw,,
military rd nw + 29th st nw,,
military rd nw + 27th st nw,,
riggs rd ne + 6th st ne,,
military rd nw + 32nd st nw,,
military rd nw + 31st st nw,,
5th st nw + oglethorpe st nw,,
blair rd nw + oglethorpe st nw,,
connecticut ave nw + military rd nw,,
14th st nw + missouri ave nw,,
missouri ave nw + 14th st nw southbound,,
30th pl nw + military rd nw,,
military rd nw + oregon ave,,
5th st nw + oglethorpe st nw,,
georgia ave nw + rock creek ford rd nw,,
new hampshire ave ne + oneida st ne,,
new hampshire ave ne + oneida st ne,,
connecticut ave nw + legation st nw,,
missouri ave nw + 16th st nw,,
missouri ave nw + 16th st nw,,
new hampshire ave ne + peabody st ne,,
new hampshire ave ne + peabody st ne,,
kansas ave nw + blair rd nw,,
5th st nw + peabody st nw,,
5th st nw + peabody st nw,,
connecticut ave nw + livingston st nw,,
kansas ave nw + peabody st nw,,
30th pl nw + legation st nw,,
western ave nw + livingston st nw,,
military rd nw + 16th st nw,,
30th pl nw + legation st nw,,
connecticut ave nw + livingston st nw,,
western ave nw + livingston st nw,,
georgia ave nw + quackenbos st nw,,
new hampshire ave ne + quackenbos st ne,,
new hampshire ave ne + quackenbos st ne,,
14th st nw + fort stevens dr nw,,
georgia ave nw + quackenbos st nw,,
14th st nw + fort stevens dr nw,,
5th st nw + quintana pl nw,,
kansas ave nw + chillum pl nw,,
30th pl nw + nebraska ave nw,,
30th pl nw + nebraska ave nw,,
new hampshire ave ne + rittenhouse st ne,,
connecticut ave nw + mckinley st nw,,
western ave nw + 41st st nw,,
new hampshire ave ne + rittenhouse st ne,,
kansas ave ne + chillum pl ne,,
mckinley st nw + 32nd st nw,,
mckinley st nw + 33rd st nw,,
mckinley st nw + 39th st nw,,
mckinley st nw + 32nd st nw,,
mckinley st nw + connecticut ave nw,,
mckinley st nw + chevy chase pky nw,,
mckinley st nw + 33rd st nw,,
mckinley st nw + broad branch rd nw,,
mckinley st nw + nevada ave nw,,
mckinley st nw + broad branch rd nw,,
mckinley st nw + western ave nw,,
mckinley st nw + 39th st nw,,
mckinley st nw + nevada ave nw,,
mckinley st nw + chevy chase pky nw,,
mckinley st nw + connecticut ave nw,,
mckinley st nw + connecticut ave nw,,
connecticut ave nw + mckinley st nw,,
5th st nw + rittenhouse st nw,,
georgia ave nw + rittenhouse st nw,,
georgia ave nw + rittenhouse st nw,,
eastern ave ne + new hampshire ave,,
14th st nw + sheridan st nw,,
n capitol st ne + sheridan st nw,,
14th st nw + sheridan st nw,,
5th st nw + sheridan st nw,,
chevy chase terminal + connecticut ave nw,,
western ave nw + oliver st nw,,
nebraska ave nw + utah ave nw,,
nebraska ave nw + oliver st nw,,
5th st nw + somerset pl nw,,
kansas ave ne + tuckerman st ne,,
georgia ave nw + tuckerman st nw,,
eastern ave ne + 5th ave,,
14th st nw + tuckerman st nw,,
eastern ave ne + tuckerman st ne,,
n capitol st ne + tuckerman st nw,,
georgia ave nw + piney branch rd nw,,
14th st nw + tuckerman st nw,,
utah ave nw + patterson pl nw,,
kansas ave ne + eastern ave ne,,
utah ave nw + patterson pl nw,,
eastern ave ne + kansas ave ne,,
eastern ave ne + kansas ln,,
5th st nw + underwood st nw,,
n capitol st nw + underwood pl nw,,
5th st nw + underwood st nw,,
georgia ave nw + underwood st nw,,
14th st nw + underwood st nw,,
14th st nw + underwood st nw,,
utah ave nw + rittenhouse st nw,,
utah ave nw + rittenhouse st nw,,
georgia ave nw + van buren st nw,,
georgia ave nw + van buren st nw,,
14th st nw + whittier st nw,,
utah ave nw + 31st st nw,,
utah ave nw + 31st st nw,,
14th st nw + whittier st nw,,
5th st nw + whittier st nw,,
5th st nw + whittier st nw,,
utah ave nw + 31st pl nw,,
eastern ave nw + whittier st nw,,
utah ave nw + 31st pl nw,,
14th st nw + aspen st nw,,
14th st nw + aspen st nw,,
aspen st nw + 13th pl nw,,
aspen st nw + 13th st nw,,
aspen st nw + georgia ave nw,,
aspen st nw + 13th st nw,,
eastern ave nw + walnut st nw,,
utah ave nw + tennyson st nw,,
utah ave nw + tennyson st nw,,
georgia ave nw + southbound  butternut st ,,
5th st nw + butternut st nw,,
5th st nw + butternut st nw,,
butternut st nw + piney branch rd nw,,
butternut st nw + 8th st nw,,
4th st nw + butternut st nw,,
eastern ave nw + laurel st nw,,
utah ave nw + van hazen st nw,,
utah ave nw + van hazen st nw,,
pinehurst cir nw + 33rd st nw,,
georgia ave nw + dahlia st nw,,
takoma station + bus bay c,,
georgia ave nw + dahlia st nw,,
georgia ave nw + fern st nw,,
georgia ave nw + geranium st nw,,
georgia ave nw + geranium st nw,,
georgia ave nw + hemlock st nw,,
georgia ave nw + hemlock st nw,,
georgia ave nw + juniper st nw,,
georgia ave nw + juniper st nw,,
16th st nw + buchanan st nw,,
16th st nw + allison st nw,,
16th st nw + varnum st nw,,
16th st nw + upshur st nw,,
16th st nw + #3636,,
16th st nw + oak st nw,,
